Point2D
10
[(4.1646957;275.38763), (573.0498;23.862003), (555.0815;567.02264), (423.5558;522.26544), (330.3814;452.153), (306.29593;458.29642), (362.77216;35.407604), null, null, null]
[(744.88544;103.306595), (200.42163;107.24461), (378.72113;522.21686), (240.51541;227.36168), (62.144817;506.5674), (429.1013;394.49643), (510.20383;530.4174), null, null, null]
[(906.0324;349.5723), (702.78564;433.21704), (465.46756;292.13565), (963.1;722.5047), (966.51025;505.87137), (632.90924;314.42755), (877.7453;674.3096), null, null, null]
[(523.43256;626.8626), (715.3222;142.21185), (227.07314;953.6188), (298.27887;481.55743), (580.5239;23.213863), (797.2536;634.5739), (199.16457;117.59525), null, null, null]
[(241.72455;242.65002), (269.22238;232.61111), (969.0474;523.80554), (630.979;270.00122), (831.0972;708.27515), (498.74258;851.6965), (813.30743;623.4146), null, null, null]
[(434.91583;369.92233), (24.877787;4.200399), (87.36402;375.2766), (599.73004;78.96817), (777.7585;402.69894), (340.8506;82.53854), (313.8916;318.93045), null, null, null]
[(753.8348;22.329569), (871.3462;511.59656), (254.95154;458.3136), (58.148266;742.98376), (556.75854;128.38382), (232.49876;940.5584), (774.36444;86.15708), null, null, null]
[(351.11386;2.0900965), null, null, null, null, null, null, null, null, null]
[(45.050083;997.9582), (595.6334;900.2971), (799.2587;301.86392), (552.48224;739.9357), (395.29575;697.29816), (608.0312;277.61246), (119.786385;409.838), null, null, null]
[(705.5591;719.4636), (120.77308;804.0765), (580.25836;80.93792), (976.5219;824.67554), (283.93085;293.63788), (882.91296;228.54787), (732.5462;704.568), null, null, null]
[(228.84781;522.4432), (592.88416;502.07858), (588.67;348.5911), (474.6873;724.8305), (290.39484;996.01917), (277.08804;671.2301), (649.2924;131.28644), null, null, null]
[(884.58875;739.5072), (197.91406;169.3396), (482.21262;294.4442), (11.264622;718.3547), (554.0339;912.00635), (42.637764;180.99416), (22.00806;734.443), null, null, null]
[(703.25494;478.15073), (256.74002;907.2858), (568.73615;566.2031), (385.0742;88.147995), (111.293434;896.48944), (378.53278;425.6403), (307.54184;722.6842), null, null, null]
[(975.1274;284.2338), (741.267;594.3008), (90.07001;437.92868), (370.6215;182.96439), (344.0386;646.41187), null, null, null, null, null]
[(876.3756;872.72644), (569.87103;820.45703), (2.4768114;954.243), (915.8253;74.100555), (557.3369;593.2095), null, null, null, null, null]
[(659.11774;516.18475), (273.33737;742.71643), (621.6291;154.10774), (230.95763;163.10251), (651.87573;32.440304), null, null, null, null, null]
[(738.6147;428.96802), (575.7622;479.29984), (468.4931;45.51643), (529.74835;779.9108), (451.84256;491.88394), null, null, null, null, null]
[(506.0643;805.94995), (475.06653;568.0871), (447.52103;662.6251), (101.901054;524.6994), (308.09622;647.2167), (892.7478;587.6609), (773.47784;368.11615), null, null, null]
[(188.3263;415.70062), (832.00867;203.87059), (312.54;438.48575), (108.98292;262.90686), (999.1968;644.2968), (45.271576;891.8071), (106.25422;252.9071), (28.865755;573.5712), null, null]
